party,work_for
Perussuomalaiset,1 suomalaist edu ajamin 2 maahanmuuto kotouttamis ja kansalaisuuspolitiik tiukentamin 3 eun liittovaltiokehityks vastustamin 4 julkis taloud tasapainottamin 5 yrittäjyyd edistämin 6 pakkoruots poistamin
Vasemmistoliitto,hyvinvointivaltio säilyttämin työelämänkysymyks sosiaaliturv parantamin lapsiperheidenopiskelijoidentyöttömieneläkeläist ja omaishoitaj asem parantamin pkyrityst tukemin
Vasemmistoliitto,halua työntekijö oikeud jotk on viety pois 0sopimuks ja lain kiertämis puolust opiskelij oikeut tiena velkaantumis sija lisäis kaikenikäist ihmist mahdollisuut liiku koulu työs ja vanhaikod
Kansallinen Kokoomus,kannat vahvast pohjoism hyvinvointiajattelu jos jokais tule osallistu mahdollisuuksie mukais mut vapaamatkustaj ei sal heikompiosais pide huol työteo on oltav kannattav kuin tuk vara elämin
Perussuomalaiset,en kaude ei ole vara virh ja hetkellis pikavoito päätöksenteo tule ol pitkäjänt ja kauaskats kaik päätöks vaikutuks tulev sukupolv eli laps tule arvioid ja pitä miele
Suomen Keskusta,suome talous on saatav nousu yrittäjyyd edellytyks parantam luom työpaiko koulutus on kilpailuvalt eriarvoistumin on pysäytettäv elinvoimain maaseutu ja toimiv kuntakeskuks keskittämis on oltav vaihtoehto
Suomen Sosialidemokraattinen Puolue,keskeis vaaliteemo ova työhö ja turvallisuuspolitiik liittyv kysymyks seuraav nelj vuode aika suome suurim haast liittyv työllisyystilant kohentamis jatkuv pätkätyöläisyyd muka tuoma epävarmuus on its tutu ja siks nost kampanj es työllisyyt edistäv ja työeläm laadu kohentamis liittyv teemo
Kansallinen Kokoomus,sotepalvelu päällekkäisyyks poistamin ja järkiperäistämin kokonaistaloudellisuus julkis yksityis ja kolman sektor toimiv yhteispel puolustusmääräraho takaamin pkyrityst toimin kannustamin ja niide työllistämismahdollisuuks ylläpitämin palvelusetel terveellin lähiruok kulttuur taide its on arvo
Suomen Keskusta,yrittäjyyt koulutuks ja alue tasaarvois kehittämis on panostettav koko maas jot kaik suomalais ova kotim uude nousu muka vain näin on mahdol saada suomi kunto
Kansallinen Kokoomus,suome on nyt vihdo tehtäv sellain kannustav yrittäjyysyhteiskun jos hyväksy onnistumin ja epäonnistumin suome on taas panostettav koulutuks ja osaamis mil muul tavo em palaudu taas hyvinvointivaltio jouko
Vihreä liitto,konkreettis tavoit eduskun luonto ympã „ristã– ja elã „ime uusiutuv energiamuoto käyttöönoto ja aurinkoenergiaratkaisu tukemin ei uut ydinvoimal itämer tila parantamin arktis luono suojelemin kaivoks ja kivilouhimo liittyv lainsäädänö luvituks valvon ja muide käytäntöj parantamin site et asuk oikeud turv eikä ympäristö tai maisem pila meluraj päivittämin sellais et ihmis on mahdollisuus hiljaisuut ja lepo oma kod kaik vuorokaudenaiko kaupunkiympäristöj suunnittelu site et asuk on mahdollisuus päivit luontoelämyks ja vähin muutam minuut kävelymatk pääs löytyv esteettöm lenkkihiihtoreit ympäristö haitallist tuk poistamin ja ohjaamin sen sija puht kotim ratkaisu ja rohk innovaatio luomutuotano tukemin kulutuks kannustamin ympäristö ja terveyd kan suotuis suun liian voimak ilmastoin rajoittamin eläinsuojelul uudistamin site et se sisält parem mahdollisuud puutu eläinsuojelurikoks ja tuotanto ja turkiseläint kohtelu koira ja muide eläinharrastuslaj erityispiirt huomioimin lainsäädänö eläint ja niide omistaj oikeuks yhteensovittamin muun yhteiskun kan yhteys päivystäv eläinlääkär mahdollis ilm et siitä per kohtuuttom puhelinpalvelumaksu ihmin oikeuskäytänö ja viranomaistoimin yleis oikeustaju mukais jot kansalaist luottamus oikeusjärjestelm paran iän merkityks vähentämin työeläm site et vain työntekij fyysis ja henkis ominaisuud ratkaisev eläkejärjestelm uudistamin site et ikä ei ole työllistymis est sosiaalituk kannustinlouku purkamin työnt aina kannattav opiskelij oikeus säilyt opiskelijaasunto ja opintotuk jos opintopistevaatimuks eivä sairaud tak täyty nettikiusaamis kitkemin moderaattor lisä vastu sivu ja keskustelualue sisälö vanhust ja vammaist elämänlaadu parantamin ja asumismuoto kehittämin site et he ova näkyv osa yhteiskunt sama kunnallisveroprosent käyttöönoto kaik kun jolo ihmis voiva vapaam val asuinkun puhelinlankaverko alasaj lopettamin tämä on kriisitilant myös turvallisuuskysymys puhelinmyyn kieltämin ilm liittymänhaltij eriks antam lupa koulutus talous ja yrittã „mine koulumaailm sekä oppimis et opettamis motivoiv taidealo koulutusmahdollisuuks säilyttämin ja ala suure yrittäjäpotentiaal hyödyntämin pienyrittäj toimintaedellytyks parantam laaduk eläm ja yrittämis mahdollisuus koko suome ympäristövastuullis yrittämis tukemin pient ja keskisuurt kaupunk liepe ja maaseudu yrittäj sosiaaliturv parantamin osaam ja käde taito myyv yrittäj alv ja eläkemaksu kohtuullistamin esim opettaj kampaaj muusiko palk sivukulu kohtuullistamin työllistämis helpottamis kaike suomalais osaamis hyödyntämin suome ja suomalaist yrittäj vahvuuks tukemin kaik talouspoliittis päätöks vahvuuks puhdas luonto vahv osaamin korkealaatuis tuot rohk innovaatio tukemin ja niide vien edistämin muka luk aurinkoenergiaratkaisu cleantechal kasvu varmistamin terveyd edistämin mahdollistam ihmis perusedellytyst toteutumin turvallisuus riittäv lepo ja liikun laadukas ruoka perh ja sosiaalin eläm its kehittämin opiskelu ja tunneelämyst kaut m taite ja kulttuur mielekäs työ ja riittäv korvaus soteuudistuks tekemin site et järjestelm on selk eikä tuo kun lisäkustannuks kaavailtu ttip ja cetavapaakauppasopimust kriittin tarkastelu ja tarvitae hylkäämin investointisuo ei tule hyväksy valtio välis vastavuoroisuusperiaat toteuttamin maa ja kiinteistökaupo lue lisä tavoit wwwsivu wwwbirgittajohanssonf
Kansallinen Kokoomus,on vihdo aika lait suome talous kunto ja pysäytettäv velkaantumin verotuks painopist on muutettav niin et ihmist ostovoim voida kohot eläk ja palko verotu laskem työllistämis est on purettav jot saada nuore kiin työeläm ole liikennepolitiik asiantuntij ja tavoit on perusväylänpido rahoituks korottamin jot liikent korkea verotuks saada kate sisäis ja ulkois turvallisuud riittäv resurs turvaamin eläm ilm pelko on jokias ihmis perusoikeus
Vihreä liitto,halua ol tekem koulutuks erinom tuke lapsiperh hyvinvoint ja edist ympäristö ja luono hyvinvoint tasaarvo ja yhdenvertaisuus kuuluv kaik
Vasemmistoliitto,hyvä ja laadukas hoito joukkoliik toimiv ja edullis vihreä energia
Vihreä liitto,kansalaist tasaarvo uusiutuv energia täysimäär käyttöönoto ydinvoim luopum ympäristönsuojelu ja siinä erityis saimaannorp ja suurpeto suojelu
Suomen Keskusta,suome taloud sekä kilpailukyvy palauttamin yrittäjyyt ja työteko kannustav sote ratkaisu hyvä valmistetu tiet kunto turvallises suome
Vasemmistoliitto,työllisyyt työelämäasio kute alipalkkauks kriminalisoint ja oikeudenmuk verotu sekä sosiaal ja työttömyysturv kehittäm vähempiosaist kan työllisyyd kan pieni ja keskisuurt yrityst toimintaedellytyst edistäm ja siihe liittyv liikenneratkaisu esimerk matkailuelinkeino kehittämin luoma uus työpaiko niil alue joita on kohdanu vaike työttömyys tasapuolist ja laaduk terveyspalvelu turvaam
Perussuomalaiset,toim työllisyyd parantamis yrityks kannustav toimintaedellytyks ja oike sosiaaliturv aja lisä tiukemp maahanmuuttopolitiik pakkoruots poistam ja eläk sekä muide pienituloist etuuks puolustam
Kansallinen Kokoomus,halua edist pkyrityst ja maataloustuottaj toimintaedellytyks ja rahoitusmahdollisuuks ja eläkeläist mielek eläm sekä nuort ja opiskelij pääsy koulutuks ja työeläm
Kansallinen Kokoomus,koulutuks asem ylläpitäm ja paantam työllisyyd edistäm
Perussuomalaiset,turh sääntely pitä purk liian massiivin sääntely use rajoit taloudel toimint ja yritteliäisyyt eun monimutkais direktiiv lisääv työttömyyt laintulkintaongelm ja turh byrokratia eläk ja tuk korottamin inhimillis taso pienitulois eläkeläis työttöm ja lapsiperh tarvitsev tuke ihmis ei saa jät milo ahdinko vaikea taloudellis tilant julkis sektor tarv muutoks kosk sekä palvelurakent et toimintatapo tavoit on oltav toimin taloudellisuud tehokkuud ja tuottavuud parantamin nuort oikeusturv on vahvistettav on tärkeä tuke nuort syrjäytymis ehkäisemis pyrkiv hank lisä on huolehdittav opiskeluterveydenhuolo palvelu laadu ja saatavuud
Vihreä liitto,tavoit on parh kyky muka 1 edist vireä maaseutu 2 mahdollist tulev sukupolv hyvä eläm tääl kauni suome lap ja 3 suoje aktiivis politiik keino niitä heikomp jotk eivä välttämät edes ääne
Suomen Kristillisdemokraatit (KD),perh ja last hyvinvoint taloudellin oikeudenmukaisuus ja työllisyyd parantamin puhdas luonto
Perussuomalaiset,pieni ja keskituloist asem parantamin m turvaam laaduk tarp mukais palvelu sekä riittäv toimeentulo
Suomen Sosialidemokraattinen Puolue,työsuhdeturv parantamin pienj keskisuur yrityst tukemin ja turvaamin lapsiperh hyvinvoin edistämin ja tukemin vanhust ja eläkeläist etu ajamin on myös hyv tärkeä
Suomen Kristillisdemokraatit (KD),nuort asio
Suomen Sosialidemokraattinen Puolue,vaaliteemo ova varhaiskasvatuskoulutus työllisyys julkist palvelu säilymin vaaliteemo päätäht on ihmin vauva ikäihmis koko elämänkaar ihmis liityy hyvinvoint kun ihmin voi hyv valtio voi hyv valtio voi hyv kun hyvinvoiv ihmin teke työtä valtio pyöri kun työllisyys on kuno hyvinvoin ympär pyöri julkis palvelu julkist palvelu on säilyttäv kaik ihmis
Vihreä liitto,ympäristö ja luonnonsuojelu uusiutuv kotimain energ köyh pienituloist ja syrjäytyn asem yrittäjyys peruskoulu ja muu koulutus
Perussuomalaiset,last nuort ja perh asio puuttum en mielenterveyspalvelu toimivuut ja mielenterveysy ennenaikais eläköitymis vähentym turvapaikanhakij maassaolo ehdollis ja ulkomaalaist vank vankeustuomio suorittam koti tai lähtöm
Vihreä liitto,vanho ihmist hoido ja hoiva kehittäm ihmist om tarp ja lähtökohd käs esteetön liikkum kaik ja tuke erilaist perh ark
Perussuomalaiset,terveydenhuolto vanhust asia potilasturvallisuus hyvä saattohoito sote ei saa ol sudenkuop työtä kaik talous vaka lastensuojelu kunto nuor toivo koulutu ja työtä eläkeläis ja omaishoitaj eivä saa unohtu yrittäj mahdollisuus
Kansallinen Kokoomus,minu tärk asio ova 1 turvallisuus se alk kod näkyy kadu ja mets liikkumisenvapaut ja päätyy suome kansainvälis turvallisuut 2 sivistys ja kasvatus kasvatusvastu on kod jota kasvatuks ammattilais voiva tuke sivistys on piene kans elinehto se on kasvatuks ja koulutuks tuoma avarakatseisuut ja kyky kehity 3 reipas yrittã „mine ilm yrityks ei ole mitä sinu ei tarvits omist yrity ollaks yrittäj sil yrittämin on en kaik ase ilm yrittäm ei eläm pärj miks pitäi
Suomen Sosialidemokraattinen Puolue,halua rakent yhteiskunt sellais et jokais oli mahdollisuus menesty lähtökohd riippumat
Perussuomalaiset,suome maan ja kans etu sekä hyvinvoint kilpailukyvy parantamin sekä sisäin ja ulkoin turvallisuus alkae jokapäiväis hyvinvoin turvallis kotiympäristö ja jatkue yhteiskun turvaverko kaut aina maanpuolustuks ast
Suomen Kristillisdemokraatit (KD),perh mahdollisuuks parantam terveyd tasaarvo nuort syrjäytymis estäm sisä ja ulko turvallisuut
Kansallinen Kokoomus,isänm puolustus satakun hyvinvoint ja koulutusasia
Vasemmistoliitto,pienituloist nuort ja eläkeläist tasavert eläm ayliik suuremp näkyvyyt ja mahdollisuus tasavertais kumppan neuvottelu
Vasemmistoliitto,tuloero pienentämin elvyttäv talouspolitiik progressiivin verotus köyhyyd vähentämin tasaarvo lähipalvelu maksuto koulutus perustulo uusiutuv energiamuodo liike raite
Suomen Sosialidemokraattinen Puolue,puolust palkansaaj näkemyks eduskun
Vihreä liitto,ole vank ympäristö tasaarvo liikun ja kulttuurimahdollisuuks sekä yrittämis puolestapuhu halua tehd kevä vaale työvaal sil enit kaike tarvits lisä työpaiko
Suomen Sosialidemokraattinen Puolue,last ja nuort asem ole myös yrittäj asia
Suomen Sosialidemokraattinen Puolue,ehk syrjäytymistäasunnottom tarv asunto kuka ei ole toivotoneläk indeksiinpäihdeongelm es ja hoitoony syrjäytymin maks miljoon on siis jo taloudel ehk syrjäytym saatik inhimil
Vasemmistoliitto,sisäilmaongelm saa riit päiväkot ja koulu rakentaj tule ol alantutkino suorittan harm taloud torjun rakennusal veronumero käytäntö tule saat pakollis kaik alo
Suomen Kristillisdemokraatit (KD),halua vahvist yrittämis asem ja työllisyyt huoleht perh hyvinvoin muist et luonto on meil luoja lahj ja et jokain ikääntyv ihmin on ainutlaatuis arvokas
Perussuomalaiset,jokais oikeus turvallis ja hyvä eläm työpaiko luomin vero maksukyvy muka rik varallisuusvero palaut energ ja kiinteistövero kohtuullis hoito ja muut peruspalvelu turvattav tänä vuon niitä leika 260â ‚¬asukas vuode 2011 taso ei köyhdyttäv eläk ja muita indeksileikkauks kipeim leikkauks kohdistuv eläkel lapsiperh saira vam työttöm omaishoitaj yksinhuoltaj ja muih pienitulo päättäj tarv oikeudenmukaisuut ja inhimillisyyt
Suomen Kristillisdemokraatit (KD),aioin pyrk edistäm hallino läpinäkyvyyt ja lainsäädänö yksinkertaistam ja selkeyttäm toise työnteo kannattavuut tule tuke kaik mahdollis keino tulev kaude pitä pysty tekem vaike päätöks leikkauks palvelu tule tehd niin etei kuka kansalain jää yhteiskun ulkopuol
Vihreä liitto,halua ennaltaehk syrjäytym ja edist osallisuut yhteiskun tule rakentu sosiaalis oikeudenmukaisuud ja eriarvoistumis estämis tule tehd työtä halua tulev vaalikaud ol huolehtim siitä et jatko kaik ova muka rakentam suome
Suomen Kristillisdemokraatit (KD),pahoinvoiv lapsiperh auttam lähipalvelu järkev turvaam muuttun yhteiskunnallis olo työttömyyd kitkem maahanmuuttaj integroim yhteiskun
Suomen Keskusta,tärkein on saada raju velkaantumin loppum ja käänt suomi takais nousu tiel siihe tarv yrittäjyyt ja työllisyyt edistäv toimenpit mut myös henkis ilmapiir muuto joil lähd nostam suome ylös lama
Vasemmistoliitto,hoiva toimeentulo ja työ tule nähd ihmisoikeuks eläkeläisaktivist taistel vanhuspalvelu ja oikeuks puole unohtamat nuort mielenterveyskysymyks ja ympäristönsuojelu myös stop ttipc sopimuks
Kansallinen Kokoomus,ole maltillin keskilinj kokoomuslain painot työllisyys turvallisuus talousyrittäjyys ja kulttuuriasio
Kansallinen Kokoomus,yrittäjyys työ ja talous
Vihreä liitto,erityis panost päätöksenteo ja lainsäädänö analyyttisyyt ja loogisuut vaad päätösehdotuks vaikutusanalyys jokais lakiesityks tule tehd monipuolin vaikutusanalyy â €“ ei ainoa taloudellis vaan myös esim sukupuolivaikutuks vaikutuks luonto syrjimättömyyt kestäv kehityks ja onnellisuut on analysoitav näide analyys on vaikutettav päätösehdotuks ja päätöks ole äänettöm ääni toim huonoosaist tulev suomalaist luono ja eläint ääne halua vahvist suome ja eun kehitysyhteistyöosaam ja toim luovast suome ja kehittyv maide yhteis hyvä keskity seksuaaliterveyt liittyv ongelm ratkaisu tasavertaisuut ja tasaarvo
Kansallinen Kokoomus,halua parant suome maanpuolustuks toimintaedellytyks ja ulkopoliit asem kannattam suome natojäsenyyt lisä halua edist yrittäjyyt ja työllisyyt sekä valtio budjet tasapainottam
Suomen Sosialidemokraattinen Puolue,työeläm kehittämin siihe suun et vuoropuhelu työntekij ja työnantaj väl kehityi uude taso joka lisä tehokkuut tuloksellisuut ja yht hyvä työeläm ulkopuol olev tule turv elintaso ja turvallisuus sekä oikeus osallistu
Perussuomalaiset,kansanedustaj tartu seuraav asio tyã –llisyys ja yrittã „mine pirkanm edunvalvon suome energiaomavaraisuus suome etu ajamin ajam asia lisääv työllisyyt ja valtio ja kunt tulo joil hyvinvointipalvelu rahoit näin voim yhd taata riittäv tuen lapsiperh koulutuspaiko nuor ihmisarvois eläm yhteiskun vähäosais ja piene eläk eläv sekä arvok vanhuud ja riittäv terveydenhoito ja lähiperuspalvelu politiik tavoit on toteut oikeudenmuk yhteiskunt jos kaik on hyvä ja turval ol ja elä ole kaupunginvaltuutetu vaikuttanu aktiivis tavallis kuntalais parh kotisivu löydä ne aloit ja teema joita ole luottamustehtäv ajanu
Suomen Sosialidemokraattinen Puolue,sosiaal ja terveydenhuolo uudistuks oikeudenmukain ja tasaarvoin toteutumin työllisyyd hoito ja työllistymis lisäämin
Vasemmistoliitto,sairaanhoido ja vanhushuolo peruspalvelu tule palaut kun ja aset valtionyhtiö velvoit pitä sähkö vesi ja energiatuotano hin kuluttajaystävällis
Suomen Keskusta,last ja nuort hyvinvoint työ ja toimeentulo sekä luonto ja ympäristö ova teemo joita halua edist
Vasemmistoliitto,sosiaalis ekologis ja inhimillis paremp yhteiskunt esimerk sosiaalipolitiik ja ympäristöpolitiik saro oli mahdollisuuks toim tavo jotk lisäisiv yhteiskun jatkuvuud edellytyks
Vasemmistoliitto,uut työtä saatav pohjoissuom pienituloist asem on parannettav palvelu laatu ja saatavuus on turvattav ja oikeudenmukais tulonjako ja verotu tarv inhimillis suome ja maailm tavoit jos heikom pide huol ja luonnonvaro käyte kestäv
Kansallinen Kokoomus,työn ja yrittäjyyd edistäm sekä velkatrend katkaisemin
Suomen Keskusta,maaseudu ja maataloud niide tule saada se mikä niil kuulu samo uus työpaiko on luotav niin biotaloud kuin pkyrityks
Suomen Keskusta,jokais aito mahdollisuus val min koti perust uut työtä ruuas puus ja vede halua kars byrokratia ja pist suome talout kunto halua edist vapaaehtoistyö ja tuke ihmis auttam its itseä
Suomen Kristillisdemokraatit (KD),en kaude pitä löytä keino joil saada taloud pyörä pyörim ja ihmis usko tulevaisuut työllisyys koulutus ja turvallisuus ova oma teema
Suomen Keskusta,halua ol muka rakentam nykyis sijoittajataloud rin idealähtö talout jos yritysideo toteuttamin oli nyky helpomp halua et huolehd kaik kaupunginos niin et kaupunk sisäin tasaarvo lisääntyy esit et pois kiire hoivatyö niin et hoivatyöntekijö on riittäv aika tehd työns hyv
Suomen Sosialidemokraattinen Puolue,työllisyyd kasvamin julkist palvelu vahvistamin koulutuks tasaarvoistam ennaltaehkäisev työn lisääm niin et se kosk kaik ja turvatu vanhuus
Suomen Sosialidemokraattinen Puolue,asumis hin on liian kork kaavoitus rakentamin ja energia hin pitä saada suotuis asumis hin kan teitä koulu päiväko on osattav myös ylläpit ylläpido moraal ja osaamin on rapistunu yrittämis kompastuskiv on tasattav uus yrittäj on tuettav ja pient byrokratia karsittav uuttam on rakennettav myös muual kuin helsing kaik tarvitsev asunto teitä ja linjaauto
Perussuomalaiset,ykkösasia pyr poistam kaik eläkeläist elinehto sortav est kute indeksileikkauks ja kaikenlais raippaverotkeskity myös talousongelmiintyöttömyyt ja kansalaist sekä koko maan turvallisuut
Vihreä liitto,kaik aikuis tuli ol työtä ja nuor ol opiskelupaik tasapuolis terveyspalvelu koko suome ikäihmist saira vammaist ihmist tasavertain kohtelu
Kansallinen Kokoomus,yrittäj toimintaympäristö kehittämin nuort hyvinvoint ympäristö ja eläint hyvinvoint
Perussuomalaiset,vientivetois talouspolitiik työllisyys ja investoin kasvu kasvu hedelm korjaus eläk ja muih etuuks turvallisuus kunto irt eusäädösholhouks
Kansallinen Kokoomus,pient ja keskisuurt yrityst toimintamahdollisuuks parantamin
Suomen Keskusta,halua lisä sosiaal oikeudenmukaisuut ja yhdenvertaisuut lain ede halua vaikut yhteiskunnallist järjestelmie uudistamis ja ete pienyrittäj asem ammatinharjoittamis kannustamis lisäämis ja alvalaraj nostamis
Suomen Keskusta,ihmis hyvinvoint edistäv päätöksenteko jos tärkeä sija ova vanhemmuud tukemin ja lapsivaikutust huomioimin nuort syrjäytymis ehkäisy sekä yksilöllis tilant ja tarp huomioiv vanhuspalvelu näen tärkeä sosiaal ja terveyspalvelu yhteistyö vahvistamis työn ja yrittäjyyd edistämis keino esit yrittäjyyd est ja liiallis byrokratia purkam työn vastaanottamis tule ol aina kannattav kotimais ruokatuotano sekä mets ja biotaloud kehittämin itäsuom kilpailukyvy elämis mahdollisuuks ja palvelu turvaamin myös maakun reunaalue
Vasemmistoliitto,työllisyyt velkaelvytyks sosiaaliturv kehittäm koht perustulo ja tulo ja hyvinvointiero kaventam ympäristölainsäädäntö tule parant nykyis ja valtio tule investoid uusiutuv energia
Vasemmistoliitto,haluais lopet talousfundamentalism tunkeutumis kaik elämänalue talous on hyvä eläm vart ei tois päin
Perussuomalaiset,pääpaino on aja asio jotk kohdistuv oikeuslaitoks sote työllisyys sekä eläkepoliitik tarkemp tieto vaaliteemo löyty kotisivu wwwhelenakantolaf
Suomen Keskusta,byrokratia ja sääntely vähentämin työnteo muuttamin kannattav joka tilant yrityst kasvu tukev yritysverotu lapsiperh lisä ennaltaehkäisev kotiapu nuor enem yrittäjyyskasvatu saks mal mukain koulutussopimus mahdollisuus nuor valtio tulo ja meno tuli lait tasapaino niin sil taka sen et heikoim asem olev pysty pitäm huol
Suomen Sosialidemokraattinen Puolue,talouspolitiik keino on edistettäv uus työmahdollisuuks syntym erityis nuor sosiaal ja terveydenhuolo palvelu on järjestettäv site et kansalaist tasaarvo toteutu nyky parem
Suomen Keskusta,halua et asumis liittyv kustannuks voida hil lapsiperh asem paran kaik suomalais an laadukas ammatillin koulutus syrjäytymis syih tartu suomi saa uus veronmaksaj
Perussuomalaiset,halua erityis vähent turhan byrokratia ja sääntely määrä jota suome on jo melkois valtio kulu täytyy leika mut perustehtäv ei saa tink yrittämis tule luoda parem toimintaedellytyks
Vasemmistoliitto,peruskoulu luokkakoko rajaam lail lak kirjatu laaduk varhaiskasvatu eläk indeks tarkistam työllistäm rato teitä ja hometalo kunnostam hiilivap energia
Kansallinen Kokoomus,1 verojärjestelm uudist nostam pienituloist eläk ja palkansaaj käytettäv olev tulo pienyrittäjyyd kannattavuut ja kasvu kaikenlais työn mielekkyyt myös osa opiskelu eläk ja osatyökykyisyyt työntekij ei saa verot työkyky tukev toimenpit kute tuore vihanneks hedelm työpaikkaruokailu työmatkalipu työkyvy palauttav sairaanhoito 2 laad its ja perh työllistäv yrityks oma elinkeinopolitiikkaohjelm jos päivit m verotus sosiaaliturv ja asiakaskysynt ylläpitäv toime 3 velvoit kun tuottam ja mittaam päätöksenteo ja toim kansalais niis koituv terveyshyöty sekä järjestäm erityisryhm ja ikäihmist asumispalvelu ennaltaehkäisev ja turvallisuut lisääv ja kuntouttav palvelu yhd yrityst ja 3 sektor kan näin syntyy myös lähipalvelu sekä uus työpaiko ja toimintatapo 4 vanhuspalvelu saaja on oikeus oma raha ja päätösv palvelutuottajastaeläketulovähennys on uudistettav alimp eläk korottav ja eläk indeksilaskelm on ylläpidettäv ostovoim suomalaist kansal turvallisuut suojattav säätäm laki joka mahdollist vain maan vuokrauks ei myynt kun ostaj on muu kuin suome kansalain kiinteistö ja yrityskaup voitav kansallis turvallisuud perust alist valtioneuvosto hyväksyttäv
Vihreä liitto,halua
Suomen Sosialidemokraattinen Puolue,työllisyyt kasvu ja yrittäjyyt julkis palvelu sopimis ja luottamuks suome ihmisarvo ja vanhuud turv syrjäytymis ehkäisy koulutu ja oppim
Vihreä liitto,halua et laps ja nuor on paremp tulevaisuus on koulutuspaiko ja työtä se tehd niin et kaik työnt kannat ja et yrittäjyys kannat panost tulevaisuud alo kute uusiutuv energia energiatehokkuut ja kiertotalout uute teknologia ja tietotekniik maan rakent ja talous on laitettav kunto jot voim huoleht heikoim huolehd vanhuks ja vammaist ihmisoikeuks lapsiköyhyyt on vähennettäv ja jokais laps taata mahdollisuus harrast työtä ja sosiaaliturv yhdist muun muas ottam käytö perustulo tarv pienyrittäjyyt kannustav uudistuks julkin velk laite kur rakenteellis uudistuks kute eläkeuudistuks ja laittam terveydenhuolto kunto kaik tarv muka työeläm myös osatyökykyis oppisopimuskoulutu uudist jot saada uus väyl työeläm tutkimuks ja tuotekehityks määräraho on lisättäv jot vahvistu globaal vientimarkkino meidä on jatko turvat kotimais ruoan tuotanto uudenm maakun on tärk koko suome vetur on huolehdittav uudenm asunto ja elinkeinopolitiik luonnonsuojelualue ja joukkoliikent raideliiken tarv kaupunkiliikent sekä koko maakun itä ja länt perust porkkal kansallispuisto ilmastokr on pysäytettäv ja suome lajirikas luonto vanh mets suot ja puhdas itämer on suojeltav jälkipolv
Vasemmistoliitto,tulev vaalikaud keskeisin on hyvinvointivaltio palvelu turvaamin ja talouspolitiik suunnanmuutos suomi tarvits nyt työtä ja hyvinvoint luova talout aktivoiv suhdannepolitiik ja tuloero tasaav reilump tulonjakopolitiik nyt ei ole oike aika leika julkis investoin tule ajoit laskusuhdant jolo ne aktivoiv talout ja lisääv työllisyyt koro ova nyt ennätyksellis matal jote kaik lähiaiko investoin on aikaistettav kaik mikä on joka tapauks ennem tai myöhem rakennettav tai korjattav on järkev tehd nyt tuloero on tasattav reilum verotuks ja tulonjakopolitiik pienitulois ansiotaso on parannettav keventäm pienituloist verotu sekä nostam perusturv taso ja pienimp eläk pääomatulo on verotettav progressiivis asteiko kute palkkatulo ja vero kiero ja välttely mahdollistav porsaanreiä on tukittav elämis kustannuks on kohtuullistettav laskem välttämättömyystarvik kute ruuan ja lääk alv erityis pääkaupunkiseudu asumis hint on saatav alemmas taloud laskusuhdant huolimat on sama aika pidettäv huol ympäristö hyvinvoin ympäristöpolitiik joustamin ei ole järkev politiik mis suhdant
Suomen Sosialidemokraattinen Puolue,nuort syrjäytymin on otettav tos kaik oppil eivä pärj m nykyis ammattikoulu näitä oppil on tuettav kuno jot he saisiv ammat ja töitä suome laiminlyöd kaupunk kehittämin tulevaisuud hyvinvoint raken kaupunk työssäkäyntialue suome ei pysty pitäm koko asutu kirko on erotettav valtio näin kerto sdpn fors ohjelm vuode 1903 tämä ohjelm koh on nyt vihdo toteutettav
Suomen Sosialidemokraattinen Puolue,on pystyttäv turvaam kansalaist kokonaisvaltain hyvinvoint ja vaikutusmahdollisuud ympäristö kunnioittav kehitys sekä taloud vaka kasvu ketä ei saa pääst syrjäytym
Vihreä liitto,halua edist uusiutuv energiamuoto yleistym energiaremont sekä edist tasaarvo yhteiskun ja ehk syrjäytym
Kansallinen Kokoomus,suomalaist hyvinvoint nyt ja tulevaisuud tämä onnistu vain yhd tekem ja kestäv taloudenpido meidä on tunnettav vastu siitä millais suome me jätä tulev sukupolv
Suomen Sosialidemokraattinen Puolue,työllisyys taka hyvinvoin työpaiko on yksinkertais luotav perh ja syrjäytyn pahoinvoint on reagoitav riittäv perustoimeentulo kuulu kaik
Suomen Keskusta,hyvä ikääntym arvok vanhuut ja tasapaino perh ja kotieläm erity painotu pienituloist vanhust sekä sotie veteraan hyvinvoint
Suomen Keskusta,last ja nuort asia koulutus ja osaamin sosiaalij terveydehuolto palvelurakennemuutoks ikääntyn asia
Vasemmistoliitto,hyvinvoint kaik läpi elämänkaar
Vasemmistoliitto,edullist aravaasunto rakentam kaik ryhmäko ja tukiasunto niitä tarvitsev halua edist sosiaal yhdenvertaisuut
Suomen Sosialidemokraattinen Puolue,hyvä eläm kuulu kaik laaduk terveyspalvelu tule taata jokais varallisuud riippumat porvo sairaal toimin on turvattav omaishoitaj tuke on nostettav ja jaksam tuettav rollaattor liikkuv ikäihmist tule saada matkust julkis liikent maksut itsensätyöllistäj ja pienyrittäj sosiaaliturv on parannettav ja alv alaraj on nostettav
Vasemmistoliitto,perustulo tasaarvo ja yhdenvertaisuut varhaiskasvatu ja peruskoulu sopimusyhteiskunt ja jalkapalloyhteiskunt
Vasemmistoliitto,tasavertaisuut kaut linj oikeudenmukaisuut
Vihreä liitto,koulutu ja tutkimu julkist ja kaupallist palvelu sähköistäm itämer suojelu matal kynnyks mielenterveyspalvelu pienyrityst kasvumahdollisuuks
