party,work_for
Kansallinen Kokoomus,Sosiaali- ja terveydenhuollon haasteet ja niiden   Työn teettämisen ja vastaanottamisen tulee olla kannattavaa.
Vasemmistoliitto,"Minulle tärkeitä arvoja poliittisessa toiminnassani on yhdenvertaisuus, oikeudenmukaisuus ja ympäristövastuu. Tulen edistämään näiden arvojen toteutumista tulevalla vaalikaudella. Konkreettisena esimerkkinä perustulokokeilu ja perustulomallin rakentaminen Suomeen."
Vihreä liitto,"Ihminen, luonto ja hyvinvointi ovat vaaliteemani. Haluan edistää perustuloa ja huolehtia saavutettavien palveluiden turvaamisesta läpi elämänvaiheiden sekä vahvistaa ympäristöhallintoa ja hyvää lainsäädäntöä."
Vasemmistoliitto,Palveluiden saatavutettavuutta  Tasa-arvoista vanhemmuutta  Rauhaa
Kansallinen Kokoomus,"Haluan toimia sellaisen Suomen puolesta, jossa elinkeinoelämä voi kyllin hyvin, antaakseen hyvinvoinnille kestävän perustan."
Perussuomalaiset,"Yksinyrittäjien, maatalouden ja kaikkein heikompien asiaa. Meillä on oikeus  puhtaaseen Suomalaiseen ruokaan ja maaseutuun. Pien ja Yksinyrittäjien on saatava oikeudenmukainen verotus ja mahdollisuus kasvaa. Heikoimmat ihmiset ovat ne, jotka ovat pudonneet toimeentulotuen varaan, eikä heille yksikään ole yrittänyt ojentaa auttavaa kättään. Haluan etsiä ratkaisuja miten myös heidät saadaan taas takaisin vahvaksi yhteiskunnan osaksi."
Kansallinen Kokoomus,Vaasan seutu kasvaa ja kehittyy. Valtiontason turhaa hallintoa karsitaan ja liiallista byrokratiaa vähennetään. Järjetön verotus laitetaan kuriin.
Vasemmistoliitto,Taiteen ja kulttuurin resurssien kehittämistä ja Pohjois-Suomen elinvoimaa.
Vihreä liitto,"Elävä, kokonainen Suomi rakentuu tasa-arvosta, kulttuurista ja inhimillisestä, ihmisarvoisesta elämästä. Eettinen ja rikas elämä on mahdollista myös rakennemuutoksen keskellä. Yrittäminen, rohkeat ideat, puhdas ruoka ja luonto tekevät meistä kilpailukykyisen eurooppalaisen valtion."
Vasemmistoliitto,Haluan edistää alkutuotannon kotimaisuuden säilymistä ja vahvistaa kotimaisen ruokatuotannon tilaa. säilyttää kotimainen ruoka ja työ.
Kansallinen Kokoomus,"Entisenä opettajana lapsiperheiden asiat ja koulutus ja sivistysasiat ovat lähellä sydäntä. Mutta nyt ennen muuta myös talous- ja työllisyyskysymykset ja itse uskon, että ne lähtevät hyvin pitkälle siitä, että kannustamme ja helpotamme yrittäjyyttä ja yritysten toimintaa tässä maassa. Kolmantena isona voisin nostaa esille puolustusvoimien määrärahat ja maanpuolustustyön. Sillä saralla olen saanut nyt tehdä työtä niin puolustusvaliokunnassa kuin ulkoasiainvaliokunnassakin. Ja isona tietenkin minulla myös urheilu ja liikunta. Lisää ajatuksiani kotisivuillani www.timoheinonen.fi"
Suomen Sosialidemokraattinen Puolue,"Kasvua, työllisyyttä, ihmisten oikeudenmukaista kohtelua."
Vihreä liitto,"Näkökulmani ulottuu poliisiauton ratista sisäministeriöön. Tuon päätöksentekoon kokemukseni muun muassa väkivallan ja syrjäytymisen ehkäisemisestä. Teemojani ovat turvallisuus, lastensuojelu ja nuoret."
Suomen Sosialidemokraattinen Puolue,"Nuorten aikuisten asioita, joihin kuuluvat pätkätyöyhteiskunnan rajoittaminen/lopettaminen, opiskelijoiden toimeentulo ja reilumpi työelämä. Jälkimmäinen toki koskee kaikkia ikäluokkia. Lisäksi palvelualojen ammattilaisena haluan tehdä palvelualoilla ja samalla muusta mikro- ja pienyrittämisestä helpompaa."
Vihreä liitto,"Haluan helpottaa pienyrittäjän työtä, uudistaa työelämän rakenteita, keskittyä koulutuksen kansainväliseen laadusta, siirtää Suomea kohti uudistuvaa energiaa ja pitää huolta Itämerestä."
Kansallinen Kokoomus,"Julkisen palvelurakenteen virtaviivaistamista ja purkamista. Päätöksiä jotka takaavat  pienyrittäjille toimeentulon sekä yrityksille ja yrittäjille mahdollisuudet luoda talouskasvua. Kannustavaa ja innostavaa sivistys-, ja koulutusolitiikkaa  sekä notkeaa ja yrittäjämäistä kulttuurin ja luovien alojen kehittämistä."
Perussuomalaiset,Pienyrittäjien aseman parantamista.  Nuorten mahdollisuutta koulutukseen lähellä kotia.  Yritystoiminnan lisäämistä ja sitä kautta uusia työpaikkoja.  Nuorten ja yli 50 v. työllistämisen edistämistä.  Omaishoitajien tasa-arvoista kohtelua.
Kansallinen Kokoomus,Vahvuuksiani ovat koulutukseen sekä sosiaali- ja terveyspalveluihin liittyvät asiat.
Suomen Keskusta,1.) Talous kasvuun kestävällä tavalla  2.)  Ilmaston muutosta hidastettava yritysten toimilla  3.) Päätöksenteko toimivaksi asiantuntijoita käyttäen - mm sote-ratkaisu
Suomen Kristillisdemokraatit (KD),- VÃ¥rt kollektiva ansvar för att förbättra ekonomin.  - VÃ¥rt behov av mjuka värden i ett allt kyligare samhälle.
Suomen Sosialidemokraattinen Puolue,"Keskeinen vaaliteemani on: Turvallisuutta arkeen. Tämä sopii hyvin SDP:n painopisteisiin: Työtä, tasa-arvoa ja turvallisuutta. Nämä arvot ohjaavat toimintaani lainsäätäjänä mikäli minut valitaan. Tekemiseni painopisteet kerskittyvät Kouvolaan ja Kymenlaakson, joiden puolesta lupaan tehdä töitä joka päivä."
Kansallinen Kokoomus,"Lähden puolustamaan kolmea, tärkeää arvoa â€“ hoivaa, ennakointia ja läheisyyttä, joiden täytyy ehdottomasti olla mukana tulevaisuuteen tähtäävässä politiikassa, mikäli halutaan tehdä toimivia ja kestäviä päätöksiä."
Kansallinen Kokoomus,"Koulutusta ja työtä!     Työllisyys on asetettava politiikan keskiöön. Ainoastaan työllisyysastetta nostamalla voimme turvata hyvinvoinnin jatkuvuuden ja taittaa hallitsemattoman julkisen velan kasvun. Turhasta sääntelystä on luovuttava, teollisuutemme kilpailukykyä ei saa enää rasittaa raskaalla päästökaupalla ja energiaverolla ja pienten ja keskisuurten yritysten toimintaedellytyksiä on parannettava. Myös energiantuotantoa koskevissa ratkaisuissa työllisyys on otettava paremmin huomioon. Lapin matkailuelinkeino hyötyisi hurjasti turhan säätelyn purkamisesta, kuten myös muut pienyrittäjät.      Suomi on noussut aikoinaan maailman kehittyneimpien valtioiden joukkoon pitkälti laadukkaan koulujärjestelmänsä ansiosta. Sen ansiosta Suomi pysyy kehityksen kärjessä jatkossakin. Koulutuksesta ja tutkimuksesta ei saa enää leikata. Ne eivät ole pelkkä kuluerä, vaan tulevaisuuden tuotannontekijöitä. Erityisesti Lapin tulevaisuuden kannalta on tärkeää, että pystymme tarjoamaan nuorille laadukkaat kouluttautumismahdollisuudet jatkossakin. Se pitää Lapin elävänä."
Perussuomalaiset,"Valtio säästää, kunnat maksavat ja kansa kärsii. Nyt on aika laskea viherveroja eikä palkkoja. Säätely alas ja Suomen turvallisuus ylös."
Kansallinen Kokoomus,"Teen kaikkeni, että suomalaiset yritykset säilyvät Suomessa ja suomalaisessa omistuksessa ja että työpaikat pysyvät Suomessa.  Haluan myös edistää alijäämäisen kauppataseen kääntämistä ylijäämäiseksi korvaamalla tuontia mahdollisimman paljon kotimaisella tuotannolla. Aloitetaan energiasta ja elintarvikkeista, joiden tuonnista vähintään kahden miljardin arvosta on kor- vattavissa kotimaisella. Autoilijoilta kerätään lähes 10 mrd euroa, mutta tienpitoon käytetään vain reilu 500 milj. â‚¬. Tähän epäsuhtaan on ehdottomasti saatava korjaus!"
Suomen Sosialidemokraattinen Puolue,"Teen parhaani pk-yrittäjien, nuorten koulutuksen ja työllisyyden sekä hyvien harrastusten, erityisesti liikunnan, hyväksi."
Vihreä liitto,"Ympäristöasiat, toimeentulo ja koulutus  1.Ympäristö:  -kokonaisvaltainen kestävän kehityksen näkökulma  -suojellessamme luonnon monimuotoisuutta suojelemme oman ja lastemme tulevaisuuden elämisen edellytykset  -uusiutuva energia, piensähkötuotannon mahdollistaminen valtakunnanverkkoon    2.Toimeentulo:  -kannattavuuden lisääminen on tärkeämpää kuin esimerkiksi itseisarvoinen eläkeiän nostaminen  -perustulokokeilu. Vapautetaan ihmiset kannattavaan työhön    3. Koulutus:  -ilmainen koulutus on tutkitusti Suomelle kannattavaa, se on myös oikeudenmukaisuus-, tasa-arvo- ja tulonjakokysymys"
Vihreä liitto,"Cleantech  Ilmastonmuutoksen torjunta on maailmanlaajuisesti 2.000 miljardin euron bisnes, ja markkinoiden ennustetaan tuplaantuvan seuraavan vuosikymmenen aikana. Suomessa on korkean tason ympäristöteknologiaosaamista, ja ympäristöliiketoiminnasta eli cleantechista on jo muodostunut yksi kansantaloutemme merkittävimmistä kasvu- ja vientialoista. Alan yritykset ovat kuitenkin keskimäärin pieniä ja tarvitsevat tukea liiketoimintansa kasvattamiseen.  Yrittäjyys  Suomen talous voi hyvin, kun yritykset voivat hyvin. Yritysten menestykseen panostaminen luo työpaikkoja ja tuottaa meille kaikille lisää verotuloja. Suurin osa suomalaisista yrityksistä on pieniä, mutta yritysten tukemisessa on viime vuosina käytetty keinoja, jotka hyödyttävät eniten suuria yrityksiä. Esimerkiksi yritysveron alennus ei ole tuottanut tavoiteltuja dynaamisia vaikutuksia, koska sen vaikutukset yksittäisten pk-yritysten talouteen ovat olemattoman pienet.  Perheet  Perheitä koskevasta lainsäädännöstä keskusteltaessa jumiudutaan herkästi väittelemään siitä, mikä on hyväksyttävä perheen määritelmä, sekä siitä, mitä on hyväksyttävä vanhemmuus. Perheitä, vanhempia ja lapsia on Suomessa jo nyt monenlaisia, eikä heidän sulkemisensa määritelmien ulkopuolelle auta ketään."
Perussuomalaiset,"Työn ja yrittämisen on oltava aina kannattavaa, koska työ luo hyvinvointia. Maaseudun jatkuva kurjistaminen on loputtava. Kehitysapua on leikattava. Aikuisten ihmisten holhoamista on vähennettävä."
Kansallinen Kokoomus,"Poliitikot eivät luo työpaikkoja, vaan rakentavat raamit. Työllisyysaste on saatava nostettua Ruotsin tasolle, ja rakenteellisia uudistuksia julkisella sektorilla sekä myös työmarkkinoilla on tehtävä, jotta työn verotusta ja työllistymisen esteitä voidaan olennaisesti pienentää.     Turhaa yrittäjyyttä ja talouselämää kuristavaa sääntöjen ja kieltojen viidakkoa pitää vähentää.     Tulen paneutumaan työttömyyden ja syrjäytymisen ehkäisemiseen."
Vihreä liitto,"Koulutus, sosiaalinen oikeudenmukaisuus, perustulo"
Suomen Keskusta,"Suomen tulee uskaltaa uudistua. Haluan edistää tasa-arvoa, oikeudenmukaisuutta ja kestävää talouskasvua. Perustulo on tarpeellinen sosiaaliturvan uudistus. Toimeliaisuuteen tulee rohkaista ja työnteon tulee olla aina kannattavaa."
Vihreä liitto,"Kärkiteemani näissä vaaleissa ovat ympäristö, yhdenvertaisuus ja eläinpolitiikka. Suomen tulee pyrkiä edelläkävijäksi ilmasto- ja ympäristöpolitiikassa, sillä ilman ympäristöä meillä ei ole mitään. Haluan puuttua yhteiskunnassamme esiintyään eriarvoisuuteen, epätasa-arvoisuuteen ja köyhyyteen. Haluan turvata eläinten hyvinvoinnin yhteiskunnassamme."
Suomen Kristillisdemokraatit (KD),"Haluan puolustaa lapsen oikeuksia, parantaa yleistä ja elinympäristön turvallisuutta, kehittää koulutusjärjestelmää sekä monipuolistaa media- ja kulttuuritarjontaa."
Suomen Sosialidemokraattinen Puolue,"Haluan edistää ihmisten turvallista arkea, sillä siten pystytään takaamaan hyvä elämä."
Suomen Sosialidemokraattinen Puolue,"Julkisten palvelujen säilymistä,  työllisyystilanteen parantamista mm. pienyrittäjyyden tukemisella ja riskien pienentämistä yrittäjyyteen rohkenevien osalta. Köyhien kyykytys lopettettava. Yksinkertaistettava toimeentulon hakemista esimerkiksi luomalla yksi lomake kaikille; haki sitten mitä tahansa taloudelllista etuutta Kelasta."
Suomen Kristillisdemokraatit (KD),"Edistän antamiani vaalilupauksia, sekä äänestäjien minulle välittämiä perusteltuja tarpeita."
Suomen Keskusta,"Haluan, että Suomi kääntyy kohti biotaloutta, eli ottaa uusiutuvat luonnonvaransa tosimielessä käyttöön. Samalla tämä auttaa pitämään maassa kaikenlaista työtä, eli siis myös alkutuotantoa ja valmistavaa tuotantoa. Kun mahdollisuuksia on kaikille ihmisille erilaisine taipumuksineen, syrjäytyminen vähenee. Vaihtoehto, eli hyvin voimakkaasti pelkästään ns. korkeaan arvonlisään ja innovaatiotalouteen perustuva tuotanto on liian yksipuolista. Silti olemme kulkeneet sitä kohti lähes koko 2000 -luvun, uskoen sen olevan lähes luonnonlaki. Tällä on voimakas yhteys metropolialueen paisuttamiseen, se on Suomelle yksinkertaisesti väärä strategia. Suomen pääkaupunkiseudun ei kannata kilpailla suurella koolla, vaan edelläkävijyydellä."
Kansallinen Kokoomus,"Haluan edistää lapsiperheiden varhaista tukea, laadukasta kasvatusta  ja opetusta.  Talous elpyy yrittäjyyttä  ja työllistämistä edistämällä.  Haluan kannustaa ihmisiä liikkumaan."
Suomen Kristillisdemokraatit (KD),Syrjäytymisen estämistä eri keinoin. Kristillisten arvojen säilyttämistä. Perheiden hyvinvoinnin edistämistä.
Suomen Sosialidemokraattinen Puolue,Tasa-arvon ja oikeudenmukaisuuden asialla.
Vihreä liitto,"Tasa-arvoa, heikoimmista huolehtimista ja turvallisuutta."
Kansallinen Kokoomus,"Koulutus - osaaminen ja uudistuva työ.  Kulttuuri- hyvinvointivaikutukset, harrastaminen, osallistuminen.  Erilaisten lapsiperheiden tarpeet ja valinnanmahdollisuudet, ennaltaehkäisy"
Suomen Keskusta,"Perhepoliittiset asiat, omaishoitajien ja vanhusten asiat sekä yrittäjyys."
Suomen Kristillisdemokraatit (KD),Haluan puolustaa heikompaa ja pientä ihmistä.
Vihreä liitto,"Sote-asiat, energiapolitiikka, Keski-Suomen kehittäminen"
Vasemmistoliitto,"Haluan pienentää tuloeroja, kohottaa köyhimpien perusturvaa, poistaa terveyskeskusmaksut ja saattaa maaliin sote uudistus siten, että terveyskeskukset alkavat toimia kaikkialla."
Vihreä liitto,"Minä haluan olla mukana rakentamassa Suomea, jossa jokaisella on yhdenvertaiset mahdollisuudet hyvään elämään. Suomea, joka kantaa vastuun ilmastonmuutoksen torjumisesta ja ympäristön hyvinvoinnista."
Vihreä liitto,"Eduskunnan tärkein tehtävä on saada maamme uuteen nousuun. Rakennemuutoksen keskellä pärjäämme olemalla kansainvälisesti edelläkävijöitä. Koulutus ja uusi yrittäjyys luovat mahdollisuuksia â€“ ei suunnitelmatalous, jossa elvytetään väistyviä aloja, jaetaan ympäristölle haitallisia tukia tai kannustinloukkuja ihmisille.     On sanottu, että politiikan arvo mitataan siinä, minkälaista arkea se tuottaa. Tärkeää minulle ovat ihmisten aidot vaikuttamismahdollisuudet ja tasa-arvo. On aika nostaa lapset hallitusohjelmaan.     Politiikan tulee luoda taloudelle edellytykset muuttua ja löytää kasvun lähteet: kohdennetaan T&K ja innovaatiokannusteita startupeille ja nuorille yrityksille uuden, kestävän kasvun luomiseen. Kasvatetaan panostusta osaamiseen ja kunnianhimoiseen tutkimukseen. Annetaan pienyrittäjille kannustimia työllistämiseen. Puretaan sääntelyä vähittäiskaupassa ja ravintoloiden aukioloajoissa. Panostetaan digitaalisen palvelutalouden kehittämiseen.     Lakien vaikutusten arviointia pitää tehdä siitä näkökulmasta keitä ne koskettavat. Tarvitaan kokeilukulttuuria ja avointa dataa. Lakien loppukäyttäjiä voivat olla potilaat, vanhukset, päiväkotilapset, koululaiset tai pienyrittäjät. Toimivia ratkaisuja voidaan tehdä, kun tunnetaan niiden arkea, joita päätökset koskettavat. Julkisen sektorin vaikuttavuuden parantamiseksi tulee lisätä käyttäjäkeskeistä kehittämistä. Investoimalla lasten ja nuorten hyvinvointiin kouluissa ja päiväkodeissa esimerkiksi riittävän pienten ryhmäkokojen avulla vähennetään tarvetta terveysmenoihin kuten mielenterveyspalveluihin myöhemmin. Kulttuurilla ja liikunnalla on hyvinvointia lisäävä vaikutus. Taataan mahdollisuus harrastuksiin kaikille lapsille vanhempien tuloista riippumatta.     On mahdotonta ennustaa, mitkä alat menestyvät kymmenen-kahdenkymmenen vuoden päästä. Tämänkin takia perustutkimuksen on äärimmäisen tärkeää kulkea soveltavan tutkimuksen rinnalla eikä siitä pidä tinkiä. Rakenteena sekä elinkeinoelämän järjestöjen että tiettyjen ammattiliittojen vahvaa neuvotteluasemaa pitäisi korjata siten, että ne eivät toimi ja vaikuta yli demokraattisesti valitun järjestelmän. Suomessa tulee pystyä joustavammin hyödyntämään uusien toimialojen mahdollisuuksia."
Kansallinen Kokoomus,Edistää yrittäjyyttä vähentämällä sääntelyä. Pienten yrittäjien ja naisyrittäjien aseman parantaminen äitiys- ja vanhempainrahakauden jakamisella kummankin puolison työnantajien kesken.
Perussuomalaiset,"Terveys ( lääkäriin pitää päästä nykyistä nopeammin ja vanhusten terveydenhoito on saatava paremmalle tolalle) Toimeentulo (Lisää työpaikkoja ja eläkeläisten ostovoimaa paremmaksi) Turvallisuus (Poliiseja ei saa enää vähentää) Tiestö (tiemäärärahoja lisää ja päällystystyöt käyntiin) Turve ( kotimainen polttoaine, turve ja hake ulkomailta tuodun kivihiilen tilalle)"
Vasemmistoliitto,"Haluan puolustaa laadukasta, ilmaista ja tasavertaista koulutusta ja ajaa kansalaispalkkaa/takuueläkettä."
Vasemmistoliitto,"Eriarvoistumisen kehitys on heti katkaistava. Siksi meidän pitää satsata julkisten palveluiden - myös koulutuksen - saatavuuteen, kattavuuteen ja laatuun. Tämä edellyttää talouspoliittista suunnanvaihtoa ja yhdenvertaista progressiivista verotusta, joka koskee niin tuloja kuin varallisuutta. Haluan edistää kunnianhimoista ilmastopolitiikkaa ja tasa-arvoisempaa työelämää. Työntekijöitä on kohdeltava yhdenvertaisesti työn teon muodoista riippumatta."
Suomen Sosialidemokraattinen Puolue,"Haluan turvata ilmaisen koulutuksen, julkiset palvelut ja ihmisten toimeentulon."
Suomen Keskusta,"Keski-Suomen tulevaisuuden kannalta aivan keskeinen asia on työllisyyden parantaminen. Nuorten on saatava töitä ja kuntien on saatava veroeuroja kirstuun jotta eri ikäisten ihmisten palvelut saadaan hoidettua kunnolla. Keski-Suomen tiestön parantaminen on käynnistettävä ja lukio- ja ammattikouluverkostamme on pidettävä huolta. Maa- ja metsätalouden tulevaisuus vaatii maaseudun kehittämistä, toimivia tie- ja tietoliikenneyhteyksiä."
Vihreä liitto,"-lasten, nuorten ja perheiden hyvinvointi  -laadukas ja tasa-arvoinen koulutus  -talouden tasapaino ja työllisyys  -ilmastokriisin torjuminen ja luonnon monimuotoisuuden säilyttäminen  -globaalin vastuunkanto"
Suomen Keskusta,Haluan olla tekemässä työtä koko Suomen rakentamisen puolesta. Kaikkialla Suomessa on mahdollisuuksia uusien työpaikkojen saamiseen. Uusiutuvat luonnonvarat ovat Suomen tulevaisuutta. Liikenneväylät on saatava kuntoon koko maassa ja jokaisella pitää olla mahdollisuus työn saamiseen kotiseudullaan nykyisen keskittämispolitiikan sijaan.
Vasemmistoliitto,"1. Valtion talouden vakaus on turvattava!    Suomen valtion tehtävänä on huolehtia yhteiskunnan kokonaisuudesta, oikeudenmukaisuudesta ja toimivuudesta koko alueellaan - myös Lapissa! Tehtäviensä hoitoa varten tarvitsee riittäviä verotuloja.    Tämän vuoksi mm. kaikkia tuloja, myös pääomatuloja, on verotettava progressiivisesti samassa taulukossa ja säädettävä varainsiirtovero ulkomaille siirrettävistä pääomista.valmistelevien maiden joukkoon. Tavoitteena on oltava tulo- ja varallisuuserojen kaventaminen.    2. Laaja julkisten investointien ohjelma.    Suomeen on saatava tekemisen meininki. Valtion on oltava aktiivisesti mukana luomassa uusia työpaikkoja. Leikkausten sijaan tarvitaan huomattavia julkisia lisäpanostuksia kestävän kehityksen mukaisen tuotannon edistämiseen ja hyvinvointipalvelujen kattavaan ja laadukkaaseen tuottamiseen.   Julkisten menojen leikkaukset ovat heikentäneet yksityisenkin sektorin toimintaedellytyksiä ja syventäneet siten lamaa. Investoinnit tuottavat itseään enemmän taloudellista toimintaa ja jopa vähentää talouden velka-astetta. Palveluiden työntekijät, homekoulujen korjaajat ja rautateiden rakentajat käyttävät saamiaan tuloja ja sitä kautta työllistävät kanssaihmisiä.   Korjataan homekoulut ja päiväkodit, rapistuneet raiteet, tiet ja sillat. Lopetetaan ideologista syistä johtuva valtion hallinnon alasajo. Kehitetään ympäristön kannalta kestävää teollista perustaa. Korjataan valtion voimakkaalla panostuksella kuntien työntekijävajetta vanhustenhoidossa, päiväkodeissa, kouluissa ja muissa sosiaali- ja terveyspalveluissa.    3. Luonnonvarojen käyttö kestävälle perustalle    Maailmantalous tulee jatkamaan syvällistä muutostaan kohti vihreämpää, matalahiilistä tuotantoa ja kulutusta. Puhdas tuotanto ja päästöjen vähentäminen on trendi, jota Suomen tulee seurata. Kestävän kehityksen perustana oleva talous kantaa vastuunsa ja huolehtii aktiivisesti luonnon monimuotoisuuden säilymisestä, ihmisten kokonaisvaltaisesta hyvinvoinnista ja tulevien sukupolvien oikeuksista ihmiskunnan yhteisiin luonnonvaroihin. Energiantuotannossa on panostettava uusiutuviin energianlähteisiin ja energiansäästöön. keskitetyistä suurvoimalaitoksista on siirryttävä hajautettuun, työllistävään ja huoltovarmuutta tukevaan tuotantoon.   Valtion määrätietoisen tuen ja ohjauksen turvin rakennetaan tutkimuksen ja kehitystyön avulla uutta teollista perustaa. Kehitetään mm. metalli- ja Ict - teknologiaosaamisen soveltamista energia-alalla ja ympäristöalalla.   Valtion on kehitettävä eri toimin kotimaista ja kestävästi tuotettua bio- ja aurinkoenergiaa, tuulivoimaa sekä maalämpöä. Säädetään vero kaivosten maa-aineille ja lannoitteille. Kaivostoiminnanharjoittajilta perittävillä maksuilla on rahoitettava kaivosalueen ympäristölle ja luonnolle aiheutuneiden vahinkojen korjaaminen täysimääräisesti. Vesivoiman lisätuotanto on sallittava vain jo rakennettujen voimaloiden tehonnostojen kautta.   Kemijoen vesistön vesivoimarakentamisesta aiheutuneiden kalatalousvahinkojen kompensaatiotaso on nostettava vastaamaan aiheutuneita vahinkoja. Kemijoen vesivoimalaitoksiin on rakennettava tehokkaat kalatiet. Voimayhtiöiden velvoitteeksi tulee saattaa vaelluskalojen palauttaminen Kemijoen vesistöön.     4. Oikeudenmukainen verotus  Vauraissa teollisuusmaissa on tuloeroja pienennetty kansalaisten välillä progressiivisella tuloverolla. Mutta palkka- ja pääomatulojen erityttäminen, tuloverojen alentaminen ja välillisten verojen korotukset johtivat tilanteeseen, jossa jopa maailman mittakaavassa Suomessa oli ennätyksellisen suuri tuloerojen kasvu. Samalla kansalaisten tietoisuuteen tuli eri tahojen harjoittama laajamittainen verojen moraaliton välttely ja suoranainen veronkierto. Nyt on siirryttävä yhtenäiseen ja oikeudenmukaiseen verotukseen.   Ruoan arvonlisäveroa on alennettava, varallisuusvero on palautettava, ylisuurten eläkkeiden solidaarisuusveroa on korotettava. Säädetään 30 % lähdevero hallintarekisteröityjen osakkeiden osingoille. Ydinvoimaloiden omistajien ansaitsemattomat päästökauppavoitot on verotettava windfall â€“ verolla. Otetaan käyttöön tyyppihyväksytyt kassat. Hintoja nostavia välillisiä veroja ja maksuja ei pidä nostaa kuin erittäin perustelluista syistä. Parannetaan pienituloisten toimeentuloa nostamalla verotulon alaraja 10 000 euroon vuodessa. Pienyrittäjiä on tuettava nostamalla arvonlisäveron tilittämisen alaraja 25 000 euroon.   Näin saadaan yhteiskuntaamme tunne siitä, että todellakin olemme - samassa Suomi nimisessä veneessä â€“ yhdenvertaisia kanssamatkustajia maailman merellä."
Vasemmistoliitto,"Pienituloisten eläkeläisten,  erityisesti ikääntyvien omaishoitajien olojen parantaminen. Pienituloisten lapsiperheiden,, erityisesti yksinhuoltajaperheiden olojen parantaminen. Köyhyyden poistaminen. Tuloerojen kaventaminen. Tasa-arvo."
Suomen Keskusta,Suomen poliittisen kentän yhtenäistäminen ja täten Suomen palauttaminen taloudellisesti nousevalle uralle.
Perussuomalaiset,Yrittämiselle pitää luoda paremmat edellytykset. Suomen verovarat tulee käyttää ja kiertää Suomessa. Ei tukipaketeille.
Suomen Keskusta,"Työn tekemiseen ja yrittäjyyteen kannustaminen, kotimainen ruuan- ja energiantuotanto ja huoltovarmuus, hyvinvointipalveluiden saavutettavuus, kuntien ja valtion parempi yhteistyö."
Vihreä liitto,"Oikeudenmukaista ja työhön kannustavaa sosiaaliturvaa, julkisten palveluiden hyvää tasoa, luonnon monimuotoisuuden vaalimista, ilmastonmuutoksen hillitsemistä, kotimaista uusiutuvaa energiaa, yhteisöllisyyttä, kohtuullisuutta ja ajatusta, että ihminen on osa luontoa."
Kansallinen Kokoomus,#NIMI?
Perussuomalaiset,"Haluan edistää suomalaisen työn arvostusta ja yrittäjien asemaa. Ajan turhan sääntelyn ja byrokratian purkamista sekä peruspalveluiden säilyttämistä myös pienillä paikkakunnilla. Päätöksenteossa tarvitaan näkökulmaa tulevaisuuden tekijöiltä, joten haluan kannustaa nuoria mukaan päätöksentekoon. Ajan tasokkaan koulutuksen säilyttämistä ja sen kehittämistä."
Suomen Sosialidemokraattinen Puolue,"Minä tulen taistelemaan työn, oikeudenmukaisen tulonjaon, harmaan talouden kitkemisen sekä hyvinvointivaltion säilymisen puolesta."
Suomen Sosialidemokraattinen Puolue,"Osaamistamme pitää kyetä muuttamaan uusiksi työpaikoiksi nykyistä paremmin, koska ilman työtä hyvinvointiyhteiskuntamme ei pyöri. Perheiden matalan kynnyksen palvelut ja arvokas vanhuus kaikille isänmaamme rakentajille ovat myös työlistallani. Olen myös vahva ihmisoikeuksien ja ympäristön puolustaja."
Suomen Kristillisdemokraatit (KD),Parantaa PK sektorin edellytyksiä työllistää kansalaisia poistamalla turhaa byrokratiaa ja holhousta. Keventää verotusta ja leikata  julkisia menoja. Lapsen oikeutta kumpaankin vanhempaansa tulee myös parantaa.
Perussuomalaiset,"Laitetaan loppu Huru-ukkojen politiikalle.  Haluan edistää hyvinvoinnin jakaantumista oikeudenmukaisesti. Stop köyhien kurjistamiselle.  Terveys,työ,turvallisuus-siinä se."
Perussuomalaiset,"Jukisen sektorin kestävyysvajeen umpeenkuromista.  Turhan sääntelyn ja byrokratian purkamista ja tekevien käsien riittävää määrää kansalaisten arjen turvaamiseksi.  Viherverojen, maahanmuuton kustannusten selvittämistä ja keventämistä. Myös kehitysavun määrää ja rakennetta tulee tarkastella."
Kansallinen Kokoomus,"Talous, talous ja talous. Emme voi elää jatkuvasti velaksi ja haluan jättää lapsilleni ja lastenlapsilleni sellaisen Suomen, jossa heidän ei tarvitse maksaa tämän sukupolven virheitä."
Suomen Keskusta,"Haluan reilumpaa työelämää kaikille. Se edellyttää työelämän lainsäädännön uusimista. Haluan, että ihmisten osaamisesta pidetään huolta. Se turvaa heidän asemansa työelämässä. Siksi koulutuksesta ei saa enää leikata, siksi elinikäinen oppiminen on varmistettava. Haluan oikeudenmukaisen yhteiskunnan, jossa jokainen voi olla hyväksytty, erilainen oma itsensä."
Suomen Keskusta,1. Perheiden hyvinvointi ja arjessa jaksaminen. 2. Yrittäjyys ja työnteko. 3. Kotimaisen ruuan ja uusiutuvan energian tuottaminen on oltava kannattavaa. 4. Maakuntien elinvoimaisuus (esim. tieverkot ja koulutusasiat kuntoon)  5. järjenvastaisen ja liiallisen byrokratian purku.
Vasemmistoliitto,"Minulle tärkeitä teemoja ovat muun muassa ilmaston, ympäristön ja luonnonvarojen niukkuuden huomioiminen kaikessa päätöksenteossa, tasa-arvoisempi tulonjako ja perusturvan takaaminen kaikille, humaanimpi maahanmuuttopolitiikka, feminismi sekä talousjärjestelmämme muuttaminen lähtökohdiltaan oikeudenmukaisemmaksi."
